Word,Count
*,20
the,13
=,9
API,8
theme,8
,7
can,6
from,6
go,5
customizations,5
to,5
by,4
on,4
here,4
{,4
This,4
TODO:,4
NOT,3
index,3
of,3
devices,3
AppBaseTheme,3
in,3
be,3
application,3
},3
Base,3
res/values/styles.xml,2
pattern,2
MODIFY,2
is,2
for,2
are,2
x,2
11+,2
14+,2
DO,2
int[],2
fetcher,2
LockView,2
if,2
generated,2
and,2
new,2
completely,2
return,2
private,2
default,2
while,2
@param,2
replaces,2
attr,2
newer,2
that,2
\theme,\,1
MAX_ROWS,1
read,1
All,1
(int),1
data,1
entry.getValue();,1
getRowAndColumnByIndex(int,1
center,1
coords[0],1
levels,1
available,1
should,1
y,1
res/values-vXX/styles.xml,1
(2,1
hard,1
mAllCells.entrySet(),1
resource,1
null;,1
only,1
\res/values-vXX/styles.xml,\,1
unselected,1
circle,1
compared,1
aapt,1
code,1
user,1
images,1
why,1
tool,1
MAX_COLUMNS),1
mCirclePaint.setStrokeWidth(getCircleStrokeWidth());,1
API-level,1
/,1
backward-compatibility,1
replaced,1
>=,1
MAX_COLUMNS;//,1
automatically,1
index),1
Cell>>,1
canvas.drawColor(Color.TRANSPARENT);,1
(ArrayList<Integer>),1
one,1
mRadius);//TODO:,1
partially,1
AUTO-GENERATED,1
<,1
width,1
(index,1
top,1
Automatically,1
drawn,1
||,1
Application,1
coords,1
so,1
Sets,1
specific,1
must,1
asynchronously,1
iter.next();,1
.iterator();,1
mPatternCache,1
Users,1
\correct,\,1
(iter.hasNext()),1
0.25f,1
int[2];,1
make,1
particular,1
The,1
It,1
boolean,1
mAllCellsInitialized,1
call,1
modified,1
BOTH,1
it,1
%,1
11,1
found,1
FILE,1
14,1
(!drawLine),1
coords;,1
not,1
input,1
related,1
iter,1
\Map.Entry<Integer,\,1
0,1
c,1
mRadius,1
colors,1
MAX_COLUMNS;,1
left,1
get,1
order:,1
bms,1
dependent,1
\Iterator<Map.Entry<Integer,\,1
fetched,1
pattern.clone();,1
row,1
coords[1],1
stored,1
entry,1
file,1
a,1
TODO,1
Cell,1
Theme,1
false;,1
was,1
Inputing,1
this,1
\wrong,\,1
class,1
Cell>,1
equal,1
height,1
hand,1
password,1
level,1
res/values-v11/styles.xml,1
ArrayList<Integer>();;,1
as,1
