Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,7,1079,830,597,113,180,10,69,329,7,40
E:\Projects\GitHub\AndroidPatternLock,7,1079,830,597,113,180,10,69,329,7,40
E:\Projects\GitHub\AndroidPatternLock\gen,2,63,28,20,0,4,0,31,147,7,40
E:\Projects\GitHub\AndroidPatternLock\gen\com,2,63,28,20,0,4,0,31,147,7,40
E:\Projects\GitHub\AndroidPatternLock\gen\com\tg,2,63,28,20,0,4,0,31,147,7,40
E:\Projects\GitHub\AndroidPatternLock\gen\com\tg\androidpatternlock,2,63,28,20,0,4,0,31,147,7,40
E:\Projects\GitHub\AndroidPatternLock\src,5,1016,802,577,113,176,10,38,182,0,0
E:\Projects\GitHub\AndroidPatternLock\src\com,5,1016,802,577,113,176,10,38,182,0,0
E:\Projects\GitHub\AndroidPatternLock\src\com\tg,5,1016,802,577,113,176,10,38,182,0,0
E:\Projects\GitHub\AndroidPatternLock\src\com\tg\androidpatternlock,5,1016,802,577,113,176,10,38,182,0,0
